,subj,block,trial,error,F0_error,carrier_word,target_word,target_start,target_end,target_dur,target_sylons,target_sylonsvoice,target_sylonsclass,target_vowel,target_tone,target_sylonsdur,target_voweldur,specTilt_1,specTilt_2,specTilt_3,specTilt_4,jitter_1,jitter_2,jitter_3,jitter_4,shimmer_1,shimmer_2,shimmer_3,shimmer_4,hnr_1,hnr_2,hnr_3,hnr_4,amp_1,amp_2,amp_3,amp_4,f1_1,f1_2,f1_3,f1_4,f2_1,f2_2,f2_3,f2_4,f3_1,f3_2,f3_3,f3_4,f0_1,f0_2,f0_3,f0_4
41,MM02,1,41,FALSE,FALSE,say,ne,1.984732201,2.378466831,0.39373463,n,,sonorant,e,M,0.129986481,0.263748148,2.944094713,2.85428585,4.914145004,20.16174211,0.00645,0.00255,0.00523,0.01967,0.02817,0.0826,0.10527,0.18614,19.8289839,19.43116799,16.73609692,14.74565695,72.87206011,70.5879324,63.94085103,57.17137039,320.1201631,349.4195665,325.833725,1359.362208,2171.491463,2067.306602,1922.705422,2343.242957,2727.181846,2549.32459,2512.583239,3225.056113,133.6853922,130.4969506,131.1277188,135.169136
42,MM02,1,42,FALSE,FALSE,say,ni,2.050507352,2.466910987,0.416403635,n,,sonorant,i,M,0.125361395,0.29104224,6.097757596,7.524523021,12.82918422,9.326575332,0.00332,0.00458,0.00499,0.01292,0.02261,0.10576,0.09951,0.14563,34.21546948,32.12286172,26.7806023,18.87694087,70.9310188,67.60533383,60.8508075,55.69924029,250.173089,303.4979736,676.463544,463.3582464,2571.331898,2524.281101,2616.547246,2463.991764,3270.495238,3441.586353,3630.316099,3227.248698,132.5446256,130.0877087,129.7796722,134.5129607
43,MM02,1,43,FALSE,FALSE,say,la,2.445107632,2.791753645,0.346646014,l,,sonorant,a,H,0.104703318,0.241942696,1.754014024,0.614479036,5.355096707,21.36000262,0.0028,0.00285,0.00216,0.01963,0.04678,0.04976,0.13157,0.2364,16.37677597,16.90671623,13.74363406,6.26155653,69.64538979,68.48228695,64.43279488,55.57857482,665.778286,694.1907457,628.0501776,1399.55135,1329.684876,1350.939242,1486.487361,2486.304209,2694.661961,2755.071857,2728.052499,3384.366435,154.8070535,154.5495466,152.9545568,150.7326714
44,MM02,1,44,FALSE,FALSE,say,nu,1.693011219,2.141286803,0.448275583,n,,sonorant,u,H,0.168479414,0.279796169,4.8684451,8.602649786,15.99263089,21.81022362,0.0064,0.00503,0.0087,0.02159,0.0802,0.06807,0.07744,0.14477,19.8943891,21.79029145,22.01619238,19.94453661,73.77034601,70.87041032,62.55410286,55.41008525,421.0961607,325.9573567,489.0283983,166.5711524,1502.572471,1673.310862,1840.428587,1691.355466,2265.597111,2663.510435,2754.899837,2212.251147,153.1714725,152.1710724,152.6706177,149.8936379
45,MM02,1,45,FALSE,FALSE,say,le,7.67164837,8.00134556,0.32969719,l,,sonorant,e,L,0.144294953,0.185402236,-4.443157367,3.247716412,-7.678170683,-2.079877807,NA,0.18696,0.10995,0.12158,NA,NA,NA,NA,3.643133296,-0.734096324,1.619927874,1.09199263,61.80176779,61.32720579,59.47966111,52.92035516,328.6701432,367.5879538,366.1225163,363.9541232,1995.94202,2054.564917,2091.81817,2034.801079,2745.882135,2758.798541,2635.957865,2543.142838,105.9006485,98.53753226,90.33709852,86.10884266
46,MM02,1,46,FALSE,FALSE,say,le,7.246761622,7.65703882,0.410277198,l,,sonorant,e,H,0.148329648,0.26194755,0.496154651,2.40120103,5.308265361,21.9133192,0.01324,0.00306,0.00372,0.01339,0.0502,0.05513,0.11771,0.16599,21.32044426,24.09451666,19.86009996,19.18817726,72.58011265,71.28126908,65.04640765,55.24980199,323.214148,318.52457,299.0051663,168.7007189,1937.545762,1952.587451,1957.825083,1873.45159,2618.568022,2453.279512,2638.269349,2666.56135,148.2113902,148.4225771,150.8552707,149.7621085
47,MM02,1,47,FALSE,FALSE,say,lO,2.394073306,2.74299639,0.348923084,l,,sonorant,O,L,0.084956538,0.263966546,2.852661143,6.698027225,-12.2976679,NA,NA,0.08082,0.01035,0.00628,NA,NA,NA,NA,-13.29073036,-1.854121191,-0.101233784,0.489261258,60.04325137,59.8923293,56.26136036,49.34938046,289.0331349,376.1087488,389.0386327,400.2135356,1069.192316,855.5942837,1096.954606,1582.667932,2629.468027,2726.423619,2830.269504,3092.624093,110.5859007,99.27214918,90.68650249,NA
48,MM02,1,48,FALSE,FALSE,say,lE,1.798807477,2.078536357,0.27972888,l,,sonorant,E,L,0.061141045,0.218587835,0.824716641,6.210820777,NA,-4.420095118,NA,NA,NA,0.0863,NA,NA,NA,0.23864,-1.441492697,-0.339090222,-0.218364993,5.590518935,66.20709495,62.61561968,55.06608055,51.67443192,546.7947363,561.9185768,1029.09167,1199.616682,1935.08317,1934.67541,2048.05566,2130.258191,2629.345023,2618.247628,2603.83132,2900.89203,107.5202723,95.20676854,NA,88.26637287
49,MM02,1,49,FALSE,FALSE,say,lo,1.475370653,1.872434314,0.397063661,l,,sonorant,o,M,0.054789551,0.34227411,-0.282440927,-1.049606301,-1.157241895,17.97952734,0.004,0.00435,0.00353,0.01772,0.03505,0.06291,0.11917,0.10675,24.13115519,24.13050042,20.79766387,15.57957085,72.83729572,70.61713997,64.24398251,55.64599602,365.2993234,364.6082426,353.2053209,635.3879219,1929.521081,676.3057432,726.864731,2265.753823,3070.02876,2606.271163,2633.543238,3387.420857,134.596157,131.0162642,130.9153261,133.4736341
50,MM02,1,50,FALSE,FALSE,say,tu,1.730024172,2.100462039,0.370437867,t,,obstruent,u,L,0.119600103,0.250837764,16.34356923,14.42781257,9.716733547,NA,0.0938,NA,NA,NA,0.04085,NA,NA,NA,7.545255248,2.857927459,-0.286163747,-2.642783613,61.12986858,51.7895367,48.82918246,45.51581041,1121.596423,1245.984484,1063.564735,1065.504125,2479.105112,2364.744378,2029.117718,2005.063935,3632.262877,3474.567646,2837.110039,2913.324247,110.4484959,87.7764464,80.00611625,NA
